Timestamp	Temperature(C)	Humidity(%)	WetBulbTemperature(C)	GlobeTemperature(C)	WBGT(C)	Classification
2026-07-22T06:00:00	37.0	47.5	28.0	52.7	35.41	DANGER
2026-07-22T07:00:00	24.4	54.1	17.7	25.7	20.1	SAFE
2026-07-22T08:00:00	42.5	47.0	32.6	63.9	41.99	DANGER
2026-07-22T09:00:00	35.0	68.5	29.6	37.5	31.97	DANGER
2026-07-22T10:00:00	32.7	44.67	23.5923	41.0	28.8146	CAUTION
2026-07-22T11:00:00	49.4	53.3	40.0	67.5	48.25	DANGER
2026-07-22T13:00:00	47.4	50.7	37.4299	65.9	45.9709	DANGER
2026-07-22T16:00:00	34.9	49.5	26.4107	40.8	30.7275	WARNING
2026-07-22T19:00:00	36.4	36.36	24.8024	53.2	33.3216	DANGER
2026-07-22T20:00:00	39.0	31.56	29.3	57.5	37.76	DANGER
2026-07-22T21:00:00	22.9	79.23	20.2122	23.9	21.3186	SAFE
2026-07-22T22:00:00	41.4	51.4	32.1	58.4	39.99	DANGER
2026-07-22T23:00:00	20.6	71.1	16.9792	22.6	18.6655	SAFE
2026-07-23T00:00:00	24.4	44.4	16.2	27.2	19.5	SAFE
2026-07-23T01:00:00	30.0	52.1	22.6635	43.1	28.7945	CAUTION
