Timestamp,Temperature(C),Humidity(%),WetBulbTemperature(C),GlobeTemperature(C),WBGT(C),Classification
2026-07-22T06:00:00,37.0,47.5,28.0,52.7,35.41,DANGER
2026-07-22T07:00:00,24.4,54.1,17.7,25.7,20.1,SAFE
2026-07-22T08:00:00,42.5,47.0,32.6,63.9,41.99,DANGER
2026-07-22T09:00:00,35.0,68.5,29.6,37.5,31.97,DANGER
2026-07-22T10:00:00,32.7,43.79,23.4168,41.0,28.6917,CAUTION
2026-07-22T11:00:00,49.4,53.3,40.0,67.5,48.25,DANGER
2026-07-22T13:00:00,47.4,50.7,37.4299,65.9,45.9709,DANGER
2026-07-22T16:00:00,34.9,49.5,26.4107,40.8,30.7275,WARNING
2026-07-22T19:00:00,36.4,35.64,24.6292,53.2,33.2004,DANGER
2026-07-22T20:00:00,39.0,30.94,29.3,57.5,37.76,DANGER
2026-07-22T21:00:00,22.9,77.67,20.0048,23.9,21.1734,SAFE
2026-07-22T22:00:00,41.4,51.4,32.1,58.4,39.99,DANGER
2026-07-22T23:00:00,20.6,71.1,16.9792,22.6,18.6655,SAFE
2026-07-23T00:00:00,24.4,44.4,16.2,27.2,19.5,SAFE
2026-07-23T01:00:00,30.0,51.07,22.4841,43.1,28.6689,CAUTION
2026-07-23T02:00:00,27.3,57.4,20.7,35.0,24.99,SAFE
2026-07-23T03:00:00,26.8,51.0,19.6,33.2,23.68,SAFE
2026-07-23T05:00:00,19.6,47.8,13.2,21.5,15.69,SAFE
2026-07-23T06:00:00,47.0,48.9,36.3,69.2,46.17,DANGER
2026-07-23T07:00:00,23.0,70.0,19.1,25.2,20.93,SAFE
2026-07-23T09:00:00,33.8,60.0,27.8,49.3,34.25,DANGER
2026-07-23T11:00:00,37.1,43.1,26.7,49.6,33.57,DANGER
2026-07-23T13:00:00,38.0,43.1,27.9,56.3,36.42,DANGER
2026-07-23T14:00:00,40.4,35.2,27.5,60.3,37.34,DANGER
2026-07-23T15:00:00,31.9,59.2,25.7,33.8,28.13,CAUTION
2026-07-23T16:00:00,25.5,57.6,19.3,27.3,21.7,SAFE
2026-07-23T17:00:00,35.9,56.0,41.1,43.2,41.73,DANGER
2026-07-23T19:00:00,39.0,61.4,32.3,46.0,36.41,DANGER
2026-07-23T20:00:00,40.6,41.8,29.8,58.0,38.26,DANGER
2026-07-23T21:00:00,29.2,56.5,22.4,34.3,25.97,SAFE
2026-07-23T22:00:00,31.0,37.7,20.4,47.6,28.56,CAUTION
2026-07-24T01:00:00,20.9,87.76,15.8,22.2,17.72,SAFE
2026-07-24T03:00:00,35.3,35.8,24.2,49.5,31.79,DANGER
2026-07-24T04:00:00,38.3,45.7,28.7,51.8,35.63,DANGER
2026-07-24T06:00:00,33.5,38.2,22.9074,50.4,31.1552,DANGER
2026-07-24T07:00:00,21.5,39.1,13.4,22.3,16.07,SAFE
2026-07-24T08:00:00,29.1,63.3,23.4,33.1,26.31,SAFE
2026-07-24T10:00:00,31.2,57.0,24.7,40.6,29.47,WARNING
