Timestamp,Temperature(C),Humidity(%),WetBulbTemperature(C),GlobeTemperature(C),WBGT(C),Classification
2026-07-22T06:00:00,37.0,47.5,28.0,52.7,35.41,DANGER
2026-07-22T07:00:00,24.4,54.1,17.7,25.7,20.1,SAFE
2026-07-22T06:00:00,37.0,47.5,28.0,52.7,35.41,DANGER
2026-07-22T07:00:00,24.4,54.1,17.7,25.7,20.1,SAFE
2026-07-22T08:00:00,42.5,47.0,32.6,63.9,41.99,DANGER
2026-07-22T06:00:00,37.0,47.5,28.0,52.7,35.41,DANGER
2026-07-22T07:00:00,24.4,54.1,17.7,25.7,20.1,SAFE
2026-07-22T08:00:00,42.5,47.0,32.6,63.9,41.99,DANGER
2026-07-22T09:00:00,35.0,68.5,29.6,37.5,31.97,DANGER
2026-07-22T10:00:00,32.7,47.61,24.1637,41.0,29.2146,CAUTION
2026-07-22T06:00:00,37.0,47.5,28.0,52.7,35.41,DANGER
2026-07-22T07:00:00,24.4,54.1,17.7,25.7,20.1,SAFE
